host_identity_verified,instant_bookable,construction_year,price,minimum_nights,number_of_reviews,reviews_per_month,review_rate_number,availability_365,cancellation_policy_moderate,cancellation_policy_strict,room_type_Hotel room,room_type_Private room,room_type_Shared room,last_review_year,last_review_month,days_since_last_review,property_age,neighbourhood_freq
0,0,2013.0,97.0,3.0,30.0,0.35,5.0,164.0,False,False,False,True,False,2019,1,2366,12.0,2418
1,1,2009.0,648.0,3.0,13.0,0.15,4.0,29.0,True,False,False,True,False,2019,1,2336,16.0,3541
1,0,2011.0,398.0,2.0,98.0,1.09,5.0,201.0,False,False,False,True,False,2019,5,2246,14.0,360
1,1,2020.0,1074.0,2.0,61.0,0.86,5.0,11.0,False,False,False,True,False,2019,6,2214,5.0,259
0,0,2008.0,1171.0,2.0,39.0,0.47,2.0,332.0,False,False,False,False,False,2019,6,2207,17.0,3541
1,1,2013.0,887.0,3.0,62.0,0.71,2.0,115.0,True,False,False,False,False,2019,1,2365,12.0,152
1,0,2022.0,764.0,3.0,47.0,0.57,3.0,274.0,False,True,False,True,False,2019,6,2186,3.0,2418
0,1,2022.0,480.0,2.0,42.0,0.48,4.0,215.0,True,False,False,False,False,2019,6,2196,3.0,2017
1,0,2019.0,327.0,4.0,72.0,0.81,3.0,67.0,False,True,False,True,False,2019,7,2183,6.0,138
0,1,2017.0,758.0,4.0,26.0,0.73,4.0,313.0,False,False,False,False,False,2017,6,2922,8.0,3087
0,0,2009.0,910.0,5.0,18.0,0.21,1.0,6.0,False,True,False,False,False,2018,1,2730,16.0,268
1,0,2005.0,662.0,3.0,18.0,0.21,3.0,319.0,True,False,False,False,False,2018,12,2367,20.0,767
1,0,2016.0,1145.0,2.0,78.0,1.22,4.0,57.0,False,True,False,True,False,2019,2,2328,9.0,577
1,1,2008.0,1167.0,2.0,32.0,0.47,4.0,194.0,True,False,False,False,False,2019,6,2193,17.0,1205
1,0,2006.0,352.0,3.0,15.0,0.18,3.0,61.0,False,True,False,True,False,2019,4,2255,19.0,452
1,0,2021.0,270.0,5.0,1.0,0.02,1.0,294.0,False,False,False,False,False,2015,11,3508,4.0,1382
1,0,2009.0,510.0,3.0,12.0,0.14,1.0,73.0,False,True,False,False,False,2019,6,2186,16.0,279
0,1,2015.0,52.0,3.0,12.0,0.13,5.0,33.0,False,False,False,False,False,2019,7,2179,10.0,1470
0,1,2015.0,365.0,4.0,9.0,0.11,2.0,364.0,False,False,False,False,False,2017,1,3095,10.0,591
1,0,2019.0,151.0,7.0,46.0,0.62,4.0,287.0,False,False,False,True,False,2019,5,2222,6.0,249
1,1,2021.0,244.0,4.0,42.0,0.47,4.0,111.0,True,False,False,True,False,2019,6,2192,4.0,3087
0,0,2012.0,1070.0,1.0,15.0,0.21,2.0,85.0,False,True,False,True,False,2019,6,2192,13.0,2418
1,0,2021.0,171.0,3.0,64.0,0.72,4.0,195.0,False,True,False,False,False,2019,5,2236,4.0,692
0,0,2021.0,964.0,3.0,51.0,0.58,2.0,196.0,False,True,False,False,False,2019,4,2250,4.0,692
1,0,2016.0,900.0,3.0,79.0,0.88,1.0,220.0,True,False,False,False,False,2019,4,2248,9.0,692
1,0,2007.0,1075.0,1.0,23.0,0.63,3.0,211.0,False,False,False,False,False,2018,12,2367,18.0,1323
0,0,2005.0,759.0,1.0,7.0,0.08,3.0,321.0,False,True,False,True,False,2022,3,1210,20.0,577
1,0,2011.0,461.0,1.0,53.0,0.6,1.0,149.0,False,True,False,False,False,2014,10,3892,14.0,911
0,0,2015.0,170.0,6.0,41.0,0.47,2.0,319.0,False,True,False,False,False,2019,6,2209,10.0,1382
1,1,2017.0,752.0,7.0,34.0,0.39,2.0,65.0,True,False,False,True,False,2019,4,2270,8.0,520
1,0,2020.0,524.0,3.0,34.0,0.39,3.0,362.0,False,True,False,False,False,2014,6,4033,5.0,1470
1,0,2012.0,966.0,7.0,27.0,0.31,2.0,278.0,True,False,False,False,False,2019,3,2307,13.0,1337
0,1,2013.0,125.0,4.0,30.0,0.34,4.0,331.0,False,True,False,True,False,2019,4,2264,12.0,3087
1,1,2021.0,848.0,2.0,6.0,0.09,5.0,158.0,False,True,False,True,False,2018,7,2521,4.0,2418
1,0,2018.0,392.0,2.0,30.0,0.74,1.0,13.0,False,False,False,True,False,2018,12,2369,7.0,379
1,0,2013.0,984.0,5.0,1.0,0.02,3.0,212.0,False,False,False,False,False,2014,9,3946,12.0,1470
0,0,2015.0,1138.0,5.0,3.0,0.09,5.0,283.0,False,False,False,True,False,2019,4,2253,10.0,811
0,0,2016.0,112.0,2.0,5.0,0.1,1.0,185.0,False,False,False,False,False,2015,10,3543,9.0,811
1,1,2017.0,1100.0,3.0,63.0,0.71,1.0,28.0,False,True,False,True,False,2019,6,2186,8.0,3087
0,0,2013.0,1178.0,3.0,80.0,0.92,1.0,353.0,True,False,False,True,False,2019,5,2221,12.0,4
1,0,2003.0,59.0,7.0,13.0,0.15,1.0,156.0,False,True,False,False,False,2019,6,2199,22.0,1535
0,0,2017.0,400.0,4.0,23.0,0.67,5.0,295.0,False,True,False,False,False,2019,4,2247,8.0,379
1,1,2010.0,846.0,3.0,10.0,0.12,3.0,163.0,False,False,False,True,False,2018,10,2435,15.0,2418
1,0,2013.0,1143.0,3.0,14.0,0.16,4.0,90.0,False,False,False,True,False,2019,4,2273,12.0,2418
1,0,2022.0,734.0,1.0,20.0,0.28,1.0,155.0,False,False,False,True,False,2019,6,2210,3.0,249
1,1,2020.0,827.0,5.0,2.0,0.02,4.0,2.0,True,False,False,True,False,2015,5,3693,5.0,3087
0,1,2016.0,344.0,2.0,47.0,1.22,1.0,28.0,True,False,False,False,False,2019,7,2183,9.0,6
1,0,2008.0,996.0,7.0,93.0,1.06,3.0,270.0,True,False,False,True,False,2019,6,2209,17.0,1205
1,0,2018.0,677.0,2.0,70.0,0.8,5.0,275.0,False,False,False,False,False,2019,6,2213,7.0,2418
0,0,2009.0,919.0,3.0,4.0,0.41,3.0,347.0,True,False,False,True,False,2019,3,2304,16.0,767
1,0,2004.0,687.0,1.0,59.0,0.69,4.0,192.0,False,True,False,True,False,2018,11,2419,21.0,71
0,1,2012.0,712.0,1.0,8.0,0.11,2.0,218.0,False,False,False,False,True,2015,9,3555,13.0,83
0,1,2018.0,504.0,4.0,27.0,0.31,5.0,348.0,False,True,False,False,False,2019,5,2222,7.0,693
1,0,2015.0,826.0,5.0,61.0,0.7,5.0,330.0,False,True,False,True,False,2018,1,2730,10.0,222
0,0,2015.0,418.0,2.0,2.0,0.02,4.0,16.0,False,True,False,True,False,2018,10,2451,10.0,811
1,1,2013.0,724.0,1.0,16.0,0.18,3.0,207.0,True,False,False,True,False,2017,1,3096,12.0,71
1,0,2003.0,913.0,5.0,38.0,0.44,5.0,310.0,False,False,False,False,False,2019,5,2231,22.0,2418
0,0,2003.0,700.0,3.0,93.0,1.05,2.0,336.0,False,True,False,False,False,2015,11,3507,22.0,1382
0,0,2006.0,925.0,3.0,6.0,0.07,3.0,68.0,True,False,False,True,False,2017,9,2849,19.0,2418
1,1,2019.0,524.0,7.0,30.0,0.34,4.0,4.0,False,True,False,False,False,2016,12,3124,6.0,1205
0,1,2013.0,171.0,3.0,17.0,0.46,4.0,98.0,False,False,False,False,False,2019,7,2181,12.0,260
1,1,2009.0,461.0,4.0,19.0,0.22,4.0,154.0,False,True,False,False,False,2019,5,2226,16.0,1205
